Designator,Mid X,Mid Y,Rotation,Layer
C1,61.976,-94.996,270.0,bottom
C10,90.932,-96.012,0.0,bottom
C11,90.932,-89.789,0.0,bottom
C12,93.599,-92.075,270.0,bottom
C13,67.437,-91.694,180.0,bottom
C2,73.152,-98.044,270.0,bottom
C3,76.581,-98.679,270.0,bottom
C4,76.581,-90.424,270.0,bottom
C5,86.261,-87.884,0.0,bottom
C6,89.281,-96.012,90.0,bottom
C7,78.359,-99.187,270.0,bottom
C9,116.84,-92.71,90.0,bottom
D1,74.168,-81.28,270.0,top
D2,76.2,-81.28,270.0,top
D3,78.232,-81.28,270.0,top
D4,93.218,-81.28,270.0,top
D5,95.25,-81.28,270.0,top
D6,97.282,-81.28,270.0,top
D7,112.268,-81.28,270.0,top
D8,114.3,-81.28,270.0,top
D9,116.332,-81.28,270.0,top
J1,61.0,-86.2,90.0,bottom
Q1,70.104,-70.104,0.0,bottom
Q2,75.184,-70.104,0.0,bottom
Q3,82.296,-70.104,0.0,bottom
Q4,89.154,-70.104,0.0,bottom
Q5,94.234,-70.104,0.0,bottom
Q6,101.346,-70.104,0.0,bottom
Q7,108.204,-70.104,0.0,bottom
Q8,113.284,-70.104,0.0,bottom
Q9,120.396,-70.104,0.0,bottom
R1,116.84,-99.06,0.0,bottom
R10,93.218,-81.28,90.0,bottom
R11,95.25,-81.28,90.0,bottom
R12,97.282,-81.28,90.0,bottom
R13,112.268,-81.28,90.0,bottom
R14,114.3,-81.28,90.0,bottom
R15,116.332,-81.28,90.0,bottom
R2,116.84,-96.52,0.0,bottom
R3,84.328,-87.884,180.0,bottom
R4,90.932,-94.361,0.0,bottom
R5,67.564,-83.947,90.0,bottom
R6,67.564,-89.027,270.0,bottom
R7,74.168,-81.28,90.0,bottom
R8,76.2,-81.28,90.0,bottom
R9,78.232,-81.28,90.0,bottom
U1,67.564,-96.012,0.0,bottom
U3,82.804,-93.98,270.0,bottom
U4,70.612,-89.154,90.0,bottom
Y1,90.932,-92.075,0.0,bottom
